title,address,accsess,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
日本堤2丁目新築M,東京都台東区日本堤２,"
東京メトロ日比谷線/三ノ輪駅 歩5分


","
新築
10階建
","
											9階",19.8万円,12000円,-,19.8万円,2LDK,44.75m2
ＪＲ山手線 西日暮里駅 3階建 築2年,東京都台東区谷中３,"
ＪＲ山手線/西日暮里駅 歩5分
東京メトロ千代田線/千駄木駅 歩8分
ＪＲ山手線/日暮里駅 歩11分
","
築2年
3階建
","
											2階",20万円,4000円,20万円,20万円,2LDK,51.39m2
Stella,東京都中野区弥生町６,"
東京メトロ丸ノ内線/方南町駅 歩4分
東京メトロ丸ノ内線/中野富士見町駅 歩11分
東京メトロ丸ノ内線/中野新橋駅 歩20分
","
築5年
2階建
","
											2階",15.2万円,3000円,15.2万円,15.2万円,2LDK,50.22m2
Ｔｏｇｇｌｅ文京大塚,東京都文京区大塚５,"
東京メトロ丸ノ内線/新大塚駅 歩5分
東京メトロ有楽町線/護国寺駅 歩6分

","
新築
4階建
","
											1階",19.4万円,10000円,-,-,2LDK,39.62m2
東京メトロ丸ノ内線 新大塚駅 4階建 新築,東京都文京区大塚５,"
東京メトロ丸ノ内線/新大塚駅 歩5分
東京メトロ有楽町線/護国寺駅 歩6分
都電荒川線/向原駅 歩13分
","
新築
4階建
","
											1階",19.4万円,10000円,-,-,2LDK,39.61m2
東京メトロ日比谷線 三ノ輪駅 14階建 築5年,東京都台東区竜泉２,"
東京メトロ日比谷線/三ノ輪駅 歩3分
ＪＲ山手線/上野駅 歩20分
ＪＲ山手線/鶯谷駅 歩17分
","
築5年
14階建
","
											7階",17.5万円,10000円,17.5万円,-,2LDK,46.14m2
クレールメゾン,東京都足立区青井３,"
つくばエクスプレス/青井駅 歩1分
東京メトロ千代田線/綾瀬駅 歩20分
つくばエクスプレス/六町駅 歩15分
","
築4年
3階建
","
											2階",12万円,4500円,12万円,24万円,2LDK,53.62m2
コンフォリア新御徒町,東京都台東区三筋２,"
都営大江戸線/新御徒町駅 歩4分
都営大江戸線/蔵前駅 歩8分
東京メトロ銀座線/田原町駅 歩10分
","
築5年
14階建
","
											6階",19.1万円,10000円,19.1万円,-,2LDK,44.64m2
シティハウス竹ノ塚,東京都足立区竹の塚６,"
東武伊勢崎線/竹ノ塚駅 歩4分


","
築2年
6階建
","
											1階",19.5万円,-,19.5万円,19.5万円,2SLDK,70.28m2
クレストコート押上North,東京都墨田区向島４,"
東京メトロ半蔵門線/押上駅 歩5分
東武伊勢崎線/曳舟駅 歩7分
都営浅草線/本所吾妻橋駅 歩14分
","
築2年
9階建
","
											3階",19.9万円,20000円,19.9万円,-,2LDK,46.41m2
